index,accX_L,accY_L,accZ_L,total_acc_L,accX_R,accY_R,accZ_R,total_acc_R,L_act,R_act
1760,-0.818,0.426,-0.354,0.988,-0.948,0.49700000000000005,-0.267,1.103,Idle,R
1761,-0.818,0.42700000000000005,-0.35600000000000004,0.9890000000000001,-1.045,0.523,-0.28800000000000003,1.204,Idle,R
1762,-0.818,0.426,-0.35600000000000004,0.9890000000000001,-0.6609999999999999,0.6579999999999999,-0.188,0.951,Idle,R
1763,-0.818,0.426,-0.35600000000000004,0.9890000000000001,-0.5589999999999999,0.737,-0.20800000000000002,0.948,Idle,R
1764,-0.818,0.425,-0.35600000000000004,0.988,-0.56,0.797,-0.268,1.01,Idle,R
1765,-0.8190000000000001,0.425,-0.355,0.9890000000000001,-0.6679999999999999,0.723,-0.327,1.037,Idle,R
1766,-0.818,0.42700000000000005,-0.35700000000000004,0.9890000000000001,-0.841,0.542,-0.315,1.0490000000000002,Idle,R
1767,-0.82,0.426,-0.35600000000000004,0.99,-0.8029999999999999,0.485,-0.284,0.98,Idle,R
1768,-0.8190000000000001,0.425,-0.355,0.9890000000000001,-0.778,0.486,-0.289,0.9620000000000001,Idle,R
1769,-0.8190000000000001,0.428,-0.35600000000000004,0.99,-0.787,0.527,-0.28,0.988,Idle,R
1770,-0.818,0.425,-0.36,0.99,-0.747,0.624,-0.32299999999999995,1.026,Idle,R
1771,-0.818,0.425,-0.363,0.991,-0.7240000000000001,0.639,-0.317,1.016,Idle,R
1772,-0.82,0.428,-0.35600000000000004,0.991,-0.7070000000000001,0.644,-0.324,1.01,Idle,R
1773,-0.818,0.426,-0.36,0.99,-0.696,0.64,-0.311,0.995,Idle,R
1774,-0.82,0.424,-0.355,0.9890000000000001,-0.6990000000000001,0.597,-0.294,0.965,Idle,R
1775,-0.818,0.426,-0.361,0.99,-0.726,0.565,-0.298,0.9670000000000001,Idle,R
1776,-0.818,0.425,-0.354,0.987,-0.715,0.568,-0.301,0.961,Idle,R
1777,-0.8190000000000001,0.42700000000000005,-0.35600000000000004,0.99,-0.6990000000000001,0.5870000000000001,-0.342,0.975,Idle,R
1778,-0.818,0.426,-0.35600000000000004,0.9890000000000001,-0.6940000000000001,0.598,-0.33299999999999996,0.975,Idle,R
1779,-0.82,0.426,-0.355,0.99,-0.762,0.58,-0.406,1.04,Idle,R
1780,-0.8170000000000001,0.42700000000000005,-0.358,0.9890000000000001,-0.802,0.529,-0.414,1.046,Idle,R
1781,-0.8190000000000001,0.425,-0.35200000000000004,0.988,-0.802,0.485,-0.39299999999999996,1.016,Idle,R
1782,-0.8190000000000001,0.42700000000000005,-0.355,0.99,-0.7659999999999999,0.478,-0.36,0.972,Idle,R
1783,-0.818,0.426,-0.355,0.988,-0.723,0.613,-0.428,1.04,Idle,R
1784,-0.8190000000000001,0.426,-0.35700000000000004,0.99,-0.7509999999999999,0.564,-0.435,1.035,Idle,R
1785,-0.818,0.426,-0.35600000000000004,0.9890000000000001,-0.774,0.519,-0.43700000000000006,1.0290000000000001,Idle,R
1786,-0.818,0.426,-0.35600000000000004,0.9890000000000001,-0.774,0.49,-0.434,1.014,Idle,R
1787,-0.818,0.426,-0.35700000000000004,0.9890000000000001,-0.695,0.474,-0.42,0.94,Idle,R
1788,-0.82,0.42700000000000005,-0.358,0.991,-0.726,0.532,-0.474,1.0170000000000001,Idle,R
1789,-0.821,0.426,-0.354,0.99,-0.747,0.586,-0.43799999999999994,1.046,Idle,R
1790,-0.818,0.426,-0.358,0.9890000000000001,-0.669,0.499,-0.382,0.9179999999999999,Idle,R
1791,-0.818,0.424,-0.36200000000000004,0.99,-0.6940000000000001,0.536,-0.392,0.961,Idle,Idle
1792,-0.8190000000000001,0.42700000000000005,-0.355,0.99,-0.665,0.534,-0.386,0.9359999999999999,Idle,Idle
1793,-0.821,0.42700000000000005,-0.35600000000000004,0.992,-0.7140000000000001,0.56,-0.478,1.026,Idle,Idle
1794,-0.818,0.426,-0.35600000000000004,0.9890000000000001,-0.815,0.593,-0.488,1.12,Idle,Idle
